Card Name,Quantity,Set Code,Number
Scuttling Sliver,4,MH1,68
Seal Away,1,DOM,31
See Red,1,RIX,112
Sentinel of the Eternal Watch,4,ORI,30
Shepherd of the Flock // Usher to Safety,4,ELD,28
Skittish Valesk,2,ONS,231
Skymarcher Aspirant,1,RIX,21
Slime Molding,3,RTR,135
"Slinn Voda, the Rising Deep",2,DOM,66
Smoky Lounge // Misty Salon,1,DSK,235
Sprouting Renewal,2,GRN,145
Staff of the Death Magus,1,M15,232
Stoke the Flames,2,MOM,166
Sulam Djinn,3,INV,212
Suspension Field,3,KTK,25
Susurian Voidborn,1,EOE,118
"Svella, Ice Shaper",1,KHM,230
Tainted Observer,1,ONE,217
Tamiyo's Logbook,2,ONE,70
Tanglespan Lookout,2,WOE,188
Thopter Arrest,1,AER,25
Treefolk Healer,4,INV,218
Trial of Solidarity,1,AKH,34
Triumph of Gerrard,2,DOM,38
Trove of Temptation,3,XLN,171
Ulrich's Kindred,3,SOI,187
Urborg Shambler,1,INV,133
Valeron Wardens,2,ORI,203
Vampiric Rites,1,BFZ,124
Vertigo,1,ICE,222
"Vohar, Vodalian Desecrator",1,DMU,226
Wall of Lost Thoughts,4,RNA,59
War Horn,2,ORI,243
Warhost's Frenzy,4,DMU,151
Weirding Wood,2,SOI,240
Whirlwind Denial,1,STA,23e
Wild Mammoth,1,NEM,124
Zameck Guildmage,1,GK2,129
Zendikar Incarnate,1,C18,195
Aegis of the Heavens,4,M19,1
Arcanist's Owl,9,NEC,135
Archfiend of Sorrows,1,MH2,74
"Arlinn, Voice of the Pack",2,WAR,150
Ascent of the Worthy,4,KHM,202
Atzocan Archer,4,XLN,176
Avalanche Caller,1,KHM,45
Azusa's Many Journeys // Likeness of the Seeker,3,NEO,172
Battle Brawler,4,FRF,63
Belligerent Brontodon,2,PLST,XLN-218
Bloodbond Vampire,7,BFZ,104
Board the Weatherlight,3,DOM,8
Bog Wraith,1,7ED,123
Boldwyr Intimidator,1,BBD,169
Boseiju Reaches Skyward // Branch of Boseiju,1,NEO,177
Brood Weaver,3,MID,173
Burning Anger,2,CMR,166
Cast Out,1,AKH,8
Crackdown Construct,5,AER,148
Creeping Mold,1,6ED,220
Cynical Loner,1,DSK,89
Dead Drop,7,KTK,67
Deadeye Brawler,2,RIX,155
Deadeye Plunderers,2,XLN,220
Despise,1,KTK,69
Dragon Trainer,1,FDN,84
Dreamstone Hedron,1,CMR,307
Druid's Familiar,3,AVR,175
Dungeon Map,1,AFR,242
Duskborne Skymarcher,1,XLN,9
Echoing Boon,2,CN2,3
Empyreal Voyager,2,KLD,180
Flame Spirit,1,ICE,184
Flayer Drone,3,OGW,148
Fruit of the First Tree,1,FRF,132
"Garna, the Bloodflame",3,DOM,194
Gempalm Sorcerer,2,LGN,39
Genestealer Locus,1,40K,21
Gisa's Bidding,2,SOI,114
Gliding Licid,1,STH,31
Gobbling Ooze,2,RTR,126
Goblin Boom Keg,7,FRF,159
Hailstorm Valkyrie,3,KHM,97
Heliod's Punishment,2,THB,21
High-Speed Hoverbike,1,NEO,247
Hornbash Mentor,2,IKO,159
Imperial Aerosaur,3,XLN,14
Integrity // Intervention,3,GRN,227
Invasion of the Giants,2,KHM,215
Ixalan's Binding,3,XLN,17
Justice,1,5ED,41
Karametra's Favor,2,SCD,195
Kargan Warleader,2,ZNR,224
"Kaya, Bane of the Dead",1,WAR,231
Lay Bare the Heart,2,AKH,96
Lesser Gargadon,8,8ED,199
Lifecrafter's Gift,2,AER,114
Lingering Phantom,4,DOM,99
Lurking Roper,1,AFR,328
"Maja, Bretagard Protector",1,KHM,327
Malakir Familiar,9,BFZ,116
Mer-Ek Nightblade,2,KTK,79
Meteor Golem,1,CMR,325
Might Weaver,4,INV,198
Mindmelter,1,OGW,149
Minotaur Aggressor,1,RTR,100
Minotaur Illusionist,1,APC,111
Molten Nursery,4,BFZ,130
Moritte of the Frost,1,KHM,328
Mysterious Tome // Chilling Chronicle,1,MID,63
Naya Battlemage,1,ALA,142
Necrosynthesis,1,MID,115
Nocturnal Raid,1,7ED,151
Ochran Assassin,1,GRN,194
Orzhov Keyrune,1,GTC,233
Peregrination,1,BNG,132
Pyromania,4,TOR,112
Raiders' Spoils,3,KTK,83
Rebel Salvo,2,ONE,144
Recollect,6,M19,197
Recruitment Officer,1,BRO,23
Restoration Specialist,2,AER,21
Roc Charger,1,GRN,24
Rootcoil Creeper,2,MID,238
Run Wild,8,ONS,279
Rune of Speed,3,KHM,148
Runed Crown,2,KHM,245
Sacred Excavation,1,AKH,67
Salt Road Ambushers,2,DTK,198
Sandstone Oracle,1,2XM,285
Savvy Hunter,5,ELD,200
Scuttlemutt,1,M20,238
Secret Plans,5,KTK,198
Shepherd of the Cosmos,2,KHM,28
Shifting Loyalties,2,FRF,51
Shiny Impetus,1,C20,55
Skarrgan Firebird,1,E01,57
Skizzik,1,DOM,145
Skullport Merchant,1,AFR,120
Soul Snare,3,C18,76
Spark of Creativity,3,KLD,131
Spore Swarm,1,DOM,180
Stinging Licid,1,TMP,91
Stormclaw Rager,2,MOM,254
Storyweave,1,NEO,209
Sunscourge Champion,1,HOU,26
Sunset Pyramid,1,HOU,166
Sure-Footed Infiltrator,3,ZNR,83
Swathcutter Giant,2,GRN,202
Synchronized Strike,2,AKH,190
Thopter Engineer,1,C21,181
Threnody Singer,1,THB,75
Time of Ice,2,DOM,70
Tomb Trawler,1,OTJ,250
"Totentanz, Swarm Piper",2,WOE,216
Towashi Guide-Bot,1,NEO,262
Twinblade Assassins,1,M21,226
Unburial Rites,1,2X2,95
Undercellar Sweep,1,CLB,47
Underworld Hermit,1,MH2,347
Vessel of Endless Rest,3,AVR,224
Village Watch // Village Reavers,4,MID,165
Void Beckoner,1,IKO,104
Vow of Flight,1,CMR,105
Wall of Resurgence,1,OGW,39
Watchers of the Dead,3,AKH,238
Weaponcraft Enthusiast,9,KLD,105
Wicked Slumber,3,MOM,84
Wildwood Scourge,1,FDN,236
Willbender,2,LGN,58
Abyssal Specter,1,MM3,59
Agonizing Memories,1,WTH,60
Ahn-Crop Crasher,2,AKH,117
Algae Gharial,1,MM2,137
"Alharu, Solemn Ritualist",1,CMR,4
Alpha Kavu,5,PLS,77
Appetite for Brains,3,AVR,84
Arashin War Beast,1,FRF,123
Armorcraft Judge,1,JMP,377
Artistic Refusal,2,MOM,46
Baloth Woodcrasher,2,C18,130
Black Oak of Odunos,1,BNG,62
Blood Divination,2,M19,86
Bomat Bazaar Barge,3,KLD,198
Brambleguard Captain,1,BLB,127
Branch of Vitu-Ghazi,1,MKM,258
"Breeches, Brazen Plunderer",1,CMR,165
Bronzeplate Boar,1,NEO,135
Brood Monitor,2,BFZ,164
Burning Hands,2,AFR,135
Channel Harm,1,FRF,7
Chemister's Insight,3,GRN,32
Clattering Augur,1,MH2,79
Cloudblazer,6,KLD,176
Coastline Marauders,1,CMR,168
Congregate,3,A25,8
Conifer Wurm,4,MH1,159
Convenient Target,1,MKM,119
Deepmuck Desperado,2,OTJ,42
Demolish,2,ODY,183
Demolition Stomper,1,KLD,206
Demonfire,1,RVR,107
Desert's Hold,3,HOU,8
Diamond Mare,2,M19,231
Dinrova Horror,2,GTC,155
Dokuchi Silencer,2,NEO,340
Drudge Spell,1,HML,45
Edifice of Authority,2,AKH,226
Engulfing Flames,2,ODY,191
Enraged Ceratok,1,RNA,125
Escape Velocity,1,THB,132
Fatal Grudge,1,SNC,187
Firefist Adept,5,DOM,121
Flametongue Yearling,1,MH2,125
Frenzied Tilling,4,GTC,166
Frostpyre Arcanist,1,KHM,58
Gateway Sneak,2,RNA,40
Geist of the Lonely Vigil,2,EMN,27
Give No Ground,1,EMN,29
Glowstone Recluse,3,IKO,156
Goblin Traprunner,1,MH2,130
Goma Fada Vanguard,3,ZNR,141
Graf Mole,1,SOI,207
Grave Strength,4,FRF,71
Heroes' Reunion,3,RTR,168
Heroic Reinforcements,1,M19,217
Hoarding Dragon,1,IMA,134
Honored Dreyleader,1,BLB,178
Hound Tamer // Untamed Pup,1,MID,302
Howling Golem,2,DOM,218
Icebind Pillar,3,KHM,62
Insatiable Gorgers,1,EMN,134
Inspiring Cleric,1,J22,199
Iron Star,2,5ED,379
Jeskai Charm,5,KTK,181
Jubilant Mascot,3,BBD,28
Kindly Stranger // Demon-Possessed Witch,1,SOI,119
Kjeldoran Elite Guard,1,ICE,34
Kraul Swarm,1,J22,432
Lava Coil,2,GRN,108
Lilysplash Mentor,1,BLB,222
Lunar Frenzy,2,MID,147
Mangara's Equity,2,MIR,26
Marsh Crocodile,3,PLS,115
Meriadoc Brandybuck,2,LTR,314
Meteoric Mace,1,CMR,192
Micromancer,1,DMU,57
Ministrant of Obligation,1,RNA,16
Mischievous Chimera,1,THB,223
Mobilizer Mech,1,NEO,65
Morkrut Necropod,1,SOI,125
Murder Investigation,2,GTC,21
New Prahv Guildmage,1,RTR,181
Nightmare's Thirst,1,M19,111
Noble Quarry,2,BNG,130
Pelakka Predation // Pelakka Caverns,1,ZNR,120
Rabid Gnaw,1,BLB,147
Reclusive Artificer,3,ORI,216
Revenant,2,CMR,147
Ride Down,2,OTP,52
Ridgescale Tusker,1,AER,121
Rockslide Elemental,2,ALA,112
Sage of the Falls,1,ELD,63
Sanctuary Lockdown,2,IKO,28
"Sarevok, Deathbringer",2,CLB,144
Scholar of the Ages,1,CMR,93
Scrappy Bruiser,1,MOM,382
Self-Inflicted Wound,2,DTK,117
Seraph of the Suns,2,AKH,28
"Shanna, Sisay's Legacy",2,DOM,204
Shieldhide Dragon,1,DTK,37
Shivan Raptor,1,USG,215
Skilled Animator,4,M19,73
Skyclave Cleric // Skyclave Basilica,2,ZNR,40
Skyship Plunderer,2,AER,46
Skysnare Spider,4,ORI,197
Sparkcaster,4,PLS,126
Spatial Contortion,1,OGW,8
Spike Soldier,1,STH,119
Spitebellows,1,MM2,128
Spitting Spider,2,8ED,280
Staff of the Sun Magus,1,M14,222
Stone Giant,1,5ED,269
Sunblade Angel,1,WAR,31
Survey Mechan,1,EOE,245
Swift Warkite,1,DTK,233
Teapot Slinger,1,BLB,157
Thalakos Dreamsower,1,TMP,92
Thundering Spineback,1,XLN,210
Thunderscape Battlemage,1,DDE,41
Tide Skimmer,1,M21,79
Tooth and Claw,2,EMA,151
Treasure Trove,2,8ED,110
Untamed Wilds,1,5ED,335
Urbis Protector,4,GTC,27
Veilborn Ghoul,3,M13,114
Vile Mutilator,1,DSK,122
Vithian Stinger,1,MM3,115
Vivisection,1,MID,83
Void Attendant,3,BFZ,169
Voltaic Brawler,1,KLD,189
Wanderbrine Trapper,1,ECL,42
Warcry Phoenix,5,DOM,150
Warfire Javelineer,1,JMP,370
Wildfire Cerberus,1,JOU,116
Witches' Eye,1,THS,222
Abyssal Gorestalker,3,LCI,87
Aether Mutation,1,APC,91
Aetherplasm,1,RVR,34
Ahn-Crop Champion,4,AKH,194
Ainok Survivalist,4,DTK,172
Alive // Well,2,DGM,121
Angelic Page,3,A25,4
Arachnus Spinner,1,2X2,135
Armorcraft Judge,3,KLD,144
Ascended Lawmage,3,DGM,53
Ashiok's Adept,1,BNG,59
Aven Fateshaper,6,ONS,69
Avian Oddity,2,IKO,42
Baleful Ammit,1,AKH,79
Baloth Cage Trap,1,MM3,120
Barbed Spike,1,MH2,5
Beamsplitter Mage,1,GRN,155
Biting Rain,4,SOI,102
Boldwyr Intimidator,1,MOR,86
Boonweaver Giant,3,M15,5
Boros Swiftblade,1,MM2,172
Bound by Moonsilver,1,SOI,7
Brood Keeper,4,M15,132
Butcher's Cleaver,1,ISD,217
Careening Mine Cart,1,LCI,247
Chasm Guide,11,BFZ,143
Chittering Skitterling,3,ONE,87
Chupacabra Echo,1,LCI,97
Citizen's Crowbar,1,SNC,8
Clay-Fired Bricks // Cosmium Kiln,3,LCI,6
Cleric of Life's Bond,2,ZNR,222
Coerced to Kill,1,MKM,192
Collective Nightmare,1,MOM,95
Containment Breach,1,STX,125
Corpse Cobble,3,MID,214
Courier of Comestibles,1,TMT,112
Courier's Briefcase,1,SNC,467
Cradle Clearcutter,1,BRO,198
Crimson Muckwader,5,M13,127
Deathmark Prelate,4,LGN,65
Decimator Beetle,5,AKH,197
Deepchannel Duelist,1,ECL,213
Demonmail Hauberk,1,ISD,221
Dire Fleet Captain,3,XLN,221
Diregraf Rebirth,2,MID,220
Dovin's Acuity,4,RNA,168
Dragonloft Idol,4,DTK,237
Dreadhound,4,MID,97
Dryad Greenseeker,4,M19,178
Enormous Baloth,8,8ED,S6
Enterprising Scallywag,1,LCI,148
Fall of the Impostor,2,KHM,208
Fallen Angel,1,A25,91
Ferocification,1,OTJ,123
Fiend Hunter,2,ISD,15
Flame Sweep,2,M20,139
Flinthoof Boar,3,EMA,166
Flowstone Charger,4,APC,99
Forerunner of Slaughter,5,BFZ,204
Frenzied Goblin,2,M15,142
Galewind Moose,1,BLB,173
Gate Colossus,2,RVR,257
Gate Smasher,2,DTK,239
Gate to the Afterlife,2,AKH,228
Ghosthelm Courier,8,ONS,85
Giant Opportunity,2,ELD,159
Gilt-Leaf Winnower,1,CMR,130
Glimmer of Genius,7,KLD,49
Go Ninja Go,1,TMT,149
Graceblade Artisan,2,DTK,20
Graceful Restoration,1,MH2,201
Graxiplon,2,ONS,86
Green Dragon,1,AFR,186
Griffin Guide,1,TSR,19
Grinning Ignus,1,STX,104
Hardy Outlander,2,CLB,235
Haunted Dead,3,EMN,92
Heartless Pillage,3,XLN,109
Hidden Herbalists,1,AER,110
Imperial Ceratops,1,RIX,10
Imperial Recovery Unit,2,NEO,18
Inspiring Veteran,2,ELD,194
Invasion of Dominaria // Serra Faithkeeper,5,MOM,21
Invasion of Xerex // Vertex Paladin,1,MOM,242
Jace's Defeat,3,HOU,38
Journey to Oblivion,2,ZNR,17
Kaya's Onslaught,3,KHM,18
Kolaghan Monument,1,DTK,241
"Koll, the Forgemaster",1,KHM,220
Korvold and the Noble Thief,1,WOE,139
Lancers en-Kor,1,STH,8
Lantern of the Lost,1,VOW,259
Living Lore,1,UMA,62
Macabre Mockery,4,RNA,191
Magnifying Glass,1,C18,208
Markov Crusader,1,EMN,95
Markov Retribution,1,VOW,171
Master of the Veil,2,LGN,43
Maulfist Doorbuster,6,KLD,123
Meteor Golem,1,M20,232
Mirrorwood Treefolk,4,PLS,83
Mischievous Catgeist // Catlike Curiosity,2,VOW,69
"Nahiri, Storm of Stone",1,WAR,233
Nimbus Champion,3,BBD,37
Not Forgotten,1,SOI,30
Noxious Dragon,1,BBD,152
Obstinate Baloth,2,BRO,187
Ojutai Monument,2,DTK,242
Oracle of Tragedy,1,MOM,71
Orzhov Advokist,1,CMR,35
Orzhov Pontiff,1,2X2,261
Paradise Plume,1,TSP,260
Peema Aether-Seer,1,AER,119
Perimeter Enforcer,1,MKM,31
Pheres-Band Raiders,1,BNG,133
Plate Armor,1,AFR,32
Popular Egotist,1,DSK,114
Quilled Slagwurm,1,MBS,89
Raugrin Crystal,4,IKO,238
Ravenous Giant,1,MH1,143
Redcap Melee,1,ELD,135
Refurbish,5,KLD,25
Runebound Wolf,1,VOW,176
Saddled Rimestag,3,MH1,177
"Safana, Calimport Cutthroat",1,CLB,143
Sanctuary Smasher,1,IKO,135
Scrabbling Claws,7,RNA,238
Sea Drake,1,MH2,268
Serene Steward,5,BFZ,46
"Shadowfax, Lord of Horses",1,LTR,227
Shieldmage Elder,4,ONS,54
Shifting Sky,4,PLS,32
Shockmaw Dragon,1,FRF,114
Short Bow,1,BLB,248
Sight Beyond Sight,2,DTK,75
Sigil Blessing,1,MM2,187
Sigiled Starfish,4,ORI,73
Silumgar Monument,2,DTK,243
Skyclave Geopede,1,ZNR,163
Skyship Plunderer,1,NCC,232
Skywise Teachings,2,DTK,79
Slaying Fire,3,ELD,143
Soulblade Renewer,1,BBD,18
Spire Patrol,1,AER,136
Stampede Driver,1,A25,188
Starseer Mentor,1,BLB,233
Steadfast Armasaur,2,XLN,39
Steelclaw Lance,2,ELD,202
Stormrider Rig,1,DTK,245
Strider Harness,2,OGW,167
Strongarm Monk,3,DTK,39
Struggle // Survive,1,ZNC,102
Sultai Charm,4,KTK,204
Sunbird Standard // Sunbird Effigy,2,LCI,262
Sunblade Elf,1,M15,202
Switcheroo,8,M19,78
Synapse Necromage,3,LCI,125
"Syr Carah, the Bold",1,ELD,145
Take for a Ride,1,OTJ,148
Take Up Arms,4,BBD,111
Tapestry of the Ages,3,DTK,246
"Targ Nar, Demon-Fang Gnoll",1,AFR,234
"Tatyova, Benthic Druid",1,FDN,247
Tergrid's Shadow,3,KHM,113
The Bath Song,1,LTR,40
The Fall of Lord Konda // Fragment of Konda,1,NEO,12
The Neutrinos,2,TMT,160
Thundercloud Elemental,2,SCG,54
Treacherous Terrain,1,C16,47
Treacherous Vampire,2,JUD,75
Triumphant Chomp,1,LCI,170
Trueheart Duelist,4,AKH,35
Trumpeting Gnarr,3,IKO,213
Twinblade Geist // Twinblade Invocation,1,VOW,40
Twisted Sewer-Witch,1,WOE,114
Untamed Kavu,2,DOM,186
Vampiric Rites,2,2X2,98
Vengeful Possession,1,DSK,162
Vexing Scuttler,2,EMN,11
Vine Mare,2,M19,207
Viral Spawning,2,ONE,194
Visage of Dread // Dread Osseosaur,2,LCI,129
Vizier of Deferment,3,AKH,37
Void Squall,1,DTK,83
Volcanic Geyser,2,M13,154
Walker of the Wastes,1,OGW,10
Wear Down,1,BLB,203
Windrider Wizard,1,ZNR,87
Wingspan Mentor,2,IKO,72
Xathrid Slyblade,1,M15,124
Act on Impulse,1,M15,126
"Aegar, the Freezing Flame",2,KHM,200
Aethershield Artificer,1,M19,2
Agent of Masks,1,MM3,149
Air Elemental,1,6ED,56
Anchor to the Aether,2,ORI,44
Angel of Renewal,4,BFZ,18
Annex Sentry,1,ONE,2
Archipelagore,2,IKO,41
Ashnod's Harvester,1,BRO,117
Atmosphere Surgeon,1,ONE,41
Azorius Keyrune,1,RTR,225
Ballista Charger,8,KLD,196
Banishing Slash,1,NEO,3
Battlewise Hoplite,5,THS,189
Belligerent Yearling,2,LCI,133
Belltoll Dragon,1,DTK,46
Biogenic Upgrade,1,2X2,137
Biolume Egg // Biolume Serpent,2,VOW,49
Birthing Hulk,4,OGW,121
Blacksmith's Talent,1,BLB,125
Blaze Commando,1,DGM,56
Bleeding Edge,1,WAR,78
Blistercoil Weird,2,RTR,211
Blizzard Strix,11,MH1,42
Bloodsoaked Altar,5,M20,90
Bolrac-Clan Basher,1,MKM,112
Book of Mazarbul,1,LTR,116
Boros Challenger,1,GRN,156
Call of the Nightwing,2,GTC,149
Call to the Feast,1,XLN,219
Canopy Stalker,1,M21,175
Carbonize,2,SCG,83
Carrion Wurm,2,TOR,55
Cartographer's Survey,1,DBL,457
Cellar Door,1,ISD,218
Centaur Chieftain,6,EMA,160
Cephalid Inkmage,1,FDN,32
Clockwork Hydra,1,TSR,264
Conclave Naturalists,1,PORI,171
Coordinated Assault,4,THS,116
Cranial Archive,1,KTK,218
Crashing Centaur,2,ODY,235
Cyclops Electromancer,2,WAR,122
Deadly Designs,1,A25,83
Death in the Family,1,TMT,61
Deathless Ancient,3,XLN,100
Decompose,4,ODY,128
Demogorgon's Clutches,1,AFR,96
Deranged Whelp,1,EMN,125
Desculpting Blast,1,EOE,54
Devouring Light,1,J22,175
Disinformation Campaign,2,GRN,167
Displacer Beast,3,AFR,54
Drill Bit,2,RNA,73
Dromoka Captain,4,DTK,12
Dusk Legion Dreadnought,3,XLN,236
Eccentric Apprentice,1,AFR,57
Eerie Interference,1,WOE,12
Ember Hauler,1,M11,135
Etched Oracle,1,MM2,211
Ethersworn Sphinx,1,MH2,195
Exemplar of Strength,1,AKH,165
Expose the Culprit,1,MKM,124
Eyeblight Massacre,4,ORI,96
Fallaji Vanguard,1,BRO,210
Fangblade Brigand // Fangblade Eviscerator,2,MID,139
"Faramir, Field Commander",1,LTR,303
Fencing Ace,1,RTR,11
Fettergeist,4,AVR,52
"Firja, Judge of Valor",2,KHM,209
"Firja, Judge of Valor",1,MUL,40
First Response,1,M15,12
Flaming Gambit,4,TOR,98
Foul Presence,1,APC,39
Frantic Scapegoat,1,MKM,347
"Fynn, the Fangbearer",3,MUL,26
Gaea's Courser,1,BRO,181
Gainsay,1,THS,49
Galvanic Giant // Storm Reading,1,WOE,52
Gatstaf Shepherd // Gatstaf Howler,1,ISD,182
Get a Leg Up,1,MKM,161
Ghost of Ramirez DePietro,1,CMR,71
Ghoulsteed,2,UMA,97
Goblin Barrage,7,DOM,128
Graverobber Spider,3,BNG,122
Greenbelt Radical,1,MKM,163
Gruul Keyrune,3,GTC,230
Heartfire Immolator,1,M21,150
Hexgold Hoverwings,2,ONE,14
Hidden Horror,1,6ED,137
Honor's Reward,3,FRF,14
Horizon Chimera,2,THS,194
Hunting Pack,1,IMA,168
Huntmaster Liger,2,IKO,16
Icefeather Aven,6,KTK,178
Impetuous Protege,4,BBD,19
In Bolas's Clutches,3,DOM,54
Insatiable Harpy,6,THS,92
Jayemdae Tome,4,ORI,231
Joraga Invocation,1,ORI,183
Juniper Order Ranger,1,CN2,204
Kardur's Vicious Return,2,KHM,217
Killing Glare,1,GTC,70
Kiss of the Amesha,3,BBD,225
Krosan Colossus,1,A25,177
Krosan Tusker,1,A25,178
Lashweed Lurker,3,EMN,9
Let's Play a Game,1,DSK,105
Lightning Stormkin,1,M20,213
Liliana's Elite,2,EMN,94
Liquid Fire,4,ODY,201
Lookout's Dispersal,6,XLN,62
Magma Jet,4,THS,128
Marang River Prowler,1,FRF,40
Master's Guide-Mural // Master's Manufactory,1,LCI,233
Meadowboon,1,MOR,17
Meteor Golem,1,AFC,210
Mogis's Warhound,1,JOU,104
Monoskelion,1,MH2,229
Mystic Skull // Mystic Monstrosity,1,MID,256
Oakhame Ranger // Bring Back,4,ELD,302
Ondu Rising,6,BFZ,41
One with the Stars,1,THB,59
Orcish Artillery,4,9ED,206
Ordeal of Heliod,5,THS,25
Ordeal of Nylea,1,CMR,247
Orzhov Enforcer,3,RNA,79
Patron of the Valiant,1,JMP,128
Pattern Matcher,3,M20,234
Phyrexian Gargantua,1,EMA,101
Phyrexian Hulk,2,7ED,312
Pilfering Imp,1,GRN,81
Pinnacle of Rage,2,BNG,105
Plated Crusher,11,BFZ,183
Prismari Apprentice,2,STX,213
Prosperity Tycoon,1,OTJ,25
Racecourse Fury,1,RTR,104
Raffine's Silencer,1,SNC,90
Ravaging Blaze,2,ORI,159
Ravenous Harpy,1,M19,115
Reckless Scholar,2,SOI,82
Reduce // Rubble,6,AKH,216
Retreat to Valakut,9,BFZ,153
Retributive Wand,2,M20,236
Return Upon the Tide,1,KHM,106
Rhox War Monk,3,ALA,188
Riddle of Lightning,4,JOU,107
"Rona, Disciple of Gix",1,DOM,203
Roost of Drakes,1,ZNR,74
"Ruby, Daring Tracker",1,FDN,245
Ruthless Instincts,3,FRF,136
"Sami, Ship's Engineer",1,EOE,225
Savai Thundermane,1,IKO,205
Shambling Suit,9,ELD,230
Shepherd of the Clouds,1,OTJ,28
Skyclave Plunder,1,ZNR,81
Slickshot Lockpicker,2,OTJ,67
Smelt-Ward Minotaur,1,GRN,116
Spire Mangler,2,RNA,86
Spiteful Motives,3,SOI,183
Stingerfling Spider,1,CMR,258
Stormblood Berserker,2,MM2,130
Stormwild Capridor,2,IKO,34
Sudden Setback,1,MKM,72
Sunhome Guildmage,1,GTC,200
Sunrise Cavalier,5,MID,244
Tempered in Solitude,2,NEO,165
The Three Seasons,3,KHM,231
Thirsting Axe,1,EMN,202
Trumpeting Armodon,1,TMP,262
Unchained Berserker,1,M20,164
Unforgiving One,1,NEO,127
Urza's Rage,5,MH1,151
Vampire Sovereign,3,M19,125
Vengeance,6,8ED,S2
Verduran Emissary,1,DDE,43
"Vial Smasher, Gleeful Grenadier",1,OTJ,235
Vineshaper Mystic,1,XLN,214
Warbringer,3,DTK,168
Whirlwind Denial,1,THB,81
Whispers of Emrakul,2,EMN,114
Windstorm,3,KTK,157
Wing Shards,4,IMA,38
Accursed Horde,1,HOU,56
Aether Meltdown,6,KLD,36
Akroan Hoplite,2,THS,185
Altac Bloodseeker,2,M15,128
Anaconda,2,9ED,229
Angel's Tomb,2,AVR,211
Aquatic Incursion,3,RIX,32
Arc Lightning,6,KTK,97
Arcane Infusion,1,MID,210
Archway Angel,5,RNA,3
Artisan's Sorrow,3,THS,151
Ashiok's Reaper,1,WOE,79
Bear's Companion,3,KTK,167
Belligerent Brontodon,5,XLN,218
Bishop of the Bloodstained,3,XLN,91
Blightcaster,2,ORI,85
Blossom Prancer,3,NEO,175
Bog Wraith,1,5ED,147
Bone to Ash,6,M19,47
Boreal Outrider,1,KHM,163
Briarbridge Patrol,3,SOI,195
Canyon Jerboa,2,ZNR,7
Cathar's Call,2,MID,11
Chakram Slinger,1,BBD,16
Charging Troll,1,DDE,45
Chitinous Cloak,4,OGW,163
Chittering Harvester,2,IKO,80
Circle of Elders,2,DTK,176
Citywatch Sphinx,1,GRN,33
Codecracker Hound,1,EOE,50
Coerced Confession,1,GTC,217
Commander Liara Portyr,1,CLB,270
Copper Host Crusher,1,MOM,181
Cower in Fear,4,M13,84
Cryptic Cruiser,3,BFZ,56
Cult Guildmage,3,RNA,164
Dagger of the Worthy,4,HOU,160
Daring Sleuth // Bearer of Overwhelming Truths,3,SOI,54
Death Frenzy,3,KTK,172
Defiled Crypt // Cadaver Lab,1,DSK,91
Diligent Excavator,4,DOM,51
Disappearing Act,2,KLD,43
Doomfall,1,HOU,62
"Elrond, Lord of Rivendell",1,LTR,49
Endless Obedience,1,M15,94
"Eowyn, Lady of Rohan",1,LTR,10
Essence Capture,5,RNA,37
Essence Depleter,1,OGW,69
Exuberant Wolfbear,2,IKO,151
Festerleech,1,MKM,85
Fiery Conclusion,2,ORI,144
"Firja, Judge of Valor",1,KHM,322
Flametongue Kavu,1,DMR,120
Flashfreeze,3,MM2,45
Flaying Tendrils,1,OGW,70
Fortress Cyclops,1,GTC,164
Frenzied Saddlebrute,2,CMR,180
Gift of Paradise,3,M19,184
Goblin Morningstar,3,AFR,145
Golgari Decoy,2,RTR,127
Golgari Findbroker,1,GRN,175
Grappling Sundew,1,GRN,131
Graveblade Marauder,1,2X2,77
Graveyard Shift,1,SNC,81
Griffin Guide,1,DMR,8
Grizzly Ghoul,3,MID,226
"Grond, the Gatebreaker",1,LTR,89
Ground Assault,1,GTC,168
Hexgold Halberd,1,ONE,136
Hieromancer's Cage,1,M19,14
Hindervines,1,GTC,124
Illusion Spinners,1,ECL,55
Innocent Traveler // Malicious Invader,2,VOW,294
Invasion of Pyrulea // Gargantuan Slabhorn,1,MOM,240
Iroas's Champion,1,ORI,214
Jelenn Sphinx,5,DGM,77
Kapsho Kitefins,4,M15,66
Ketria Crystal,3,IKO,236
Knightly Valor,3,ORI,22
Kor Bladewhirl,3,BFZ,34
"Lagrella, the Magpie",1,SNC,196
Larval Scoutlander,1,EOE,194
Leonin Iconoclast,2,JOU,16
Liege of the Axe,2,LGN,16
Lightning-Rig Crew,2,XLN,150
Lore Drakkis,1,IKO,194
Magnetic Snuffler,2,MKM,254
Magnifying Glass,3,SOI,258
Malakir Soothsayer,1,OGW,87
Marauding Looter,3,XLN,225
Mark of Mutiny,1,M13,141
Master Splicer,2,M20,29
"Mauhur, Uruk-hai Captain",1,LTR,214
Merchant Raiders,1,CMR,81
Merfolk of the Depths,1,GTC,221
Meteorite,1,ORI,233
Might of the Masses,2,GRN,137
Mistmeadow Witch,1,MM3,210
Mole Worms,1,5ED,179
Murder of Crows,1,AFC,88
Necromantic Summons,3,ORI,110
Obsessive Skinner,3,SOI,220
Okiba Salvage,1,NEO,118
Once and Future,1,ELD,168
